"RESULT"
"STATUS","0"
"ERROR_MSG","正常に終了しました。"
"DATE","2020-07-06T12:34:22.986+09:00"
"RESULT_INF"
"FROM_NUMBER","1"
"TO_NUMBER","4430"
"STAT_INF"
"TABLE_INF","STAT_CODE","STAT_NAME","GOV_ORG_CODE","GOV_ORG_NAME","TABULATION_CATEGORY","TABULATION_SUB_CATEGORY1","TABULATION_SUB_CATEGORY2","TABULATION_SUB_CATEGORY3","TABULATION_SUB_CATEGORY4","TABULATION_SUB_CATEGORY5","TABULATION_CATEGORY_EXPLANATION","TABULATION_SUB_CATEGORY_EXPLANATION1","TABULATION_SUB_CATEGORY_EXPLANATION2","TABULATION_SUB_CATEGORY_EXPLANATION3","TABULATION_SUB_CATEGORY_EXPLANATION4","TABULATION_SUB_CATEGORY_EXPLANATION5","NO","TITLE","TABLE_EXPLANATION","TABLE_CATEGORY","TABLE_SUB_CATEGORY1","TABLE_SUB_CATEGORY2","TABLE_SUB_CATEGORY3","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","MAIN_CATEGORY_CODE","MAIN_CATEGORY","SUB_CATEGORY_CODE","SUB_CATEGORY"
"8003000019","00200521","国勢調査","00200","総務省","平成２７年国勢調査","小地域","","","","","","","","","","","01","男女別人口総数及び世帯総数 北海道","","","北海道","","","-","201510","2019-10-08","1","","102620","2019-10-08","02","人口・世帯","01","人口"
"8003000063","00200521","国勢調査","00200","総務省","平成２７年国勢調査","小地域","","","","","","","","","","","01","年齢（５歳階級、４区分）別、男女別人口 北海道","","","北海道","","","-","201510","2019-10-08","1","","1539300","2019-10-08","02","人口・世帯","01","人口"
"8003000130","00200521","国勢調査","00200","総務省","平成２７年国勢調査","小地域","","","","","","","","","","","01","世帯人員別一般世帯数 北海道","","","北海道","","","-","201510","2019-10-08","1","","205240","2019-10-08","02","人口・世帯","01","人口"
"8003000176","00200521","国勢調査","00200","総務省","平成２７年国勢調査","小地域","","","","","","","","","","","01","世帯の家族類型別一般世帯数 北海道","","","北海道","","","-","201510","2019-10-08","1","","230895","2019-10-08","02","人口・世帯","01","人口"
"8003000204","00200521","国勢調査","00200","総務省","平成２７年国勢調査","小地域","","","","","","","","","","","01","住宅の建て方別世帯数 北海道","","","北海道","","","-","201510","2019-10-08","1","","230895","2019-10-08","02","人口・世帯","01","人口"
"8003000253","00200521","国勢調査","00200","総務省","平成２７年国勢調査","小地域","","","","","","","","","","","01","産業（大分類）別及び従業上の地位別就業者数 北海道","","","北海道","","","-","201510","2019-10-08","1","","641375","2019-10-08","02","人口・世帯","01","人口"
"8003000299","00200521","国勢調査","00200","総務省","平成２７年国勢調査","小地域","","","","","","","","","","","01","職業（大分類）別就業者数 北海道","","","北海道","","","-","201510","2019-10-08","1","","333515","2019-10-08","02","人口・世帯","01","人口"
"8003000353","00200521","国勢調査","00200","総務省","平成２７年国勢調査","小地域","","","","","","","","","","","01","住宅の種類・所有の関係別一般世帯数 北海道","","","北海道","","","-","201510","2019-10-08","1","","76965","2019-10-08","02","人口・世帯","01","人口"
"8003000407","00200521","国勢調査","00200","総務省","平成２７年国勢調査","小地域","","","","","","","","","","","01","世帯の経済構成別一般世帯数 北海道","","","北海道","","","-","201510","2019-10-08","1","","153930","2019-10-08","02","人口・世帯","01","人口"
"8003000014","00200521","国勢調査","00200","総務省","平成２７年国勢調査","小地域","","","","","","","","","","","02","男女別人口総数及び世帯総数 青森県","","","青森県","","","-","201510","2019-10-08","1","","19872","2019-10-08","02","人口・世帯","01","人口"
"8003000083","00200521","国勢調査","00200","総務省","平成２７年国勢調査","小地域","","","","","","","","","","","02","年齢（５歳階級、４区分）別、男女別人口 青森県","","","青森県","","","-","201510","2019-10-08","1","","298080","2019-10-08","02","人口・世帯","01","人口"
"8003000097","00200521","国勢調査","00200","総務省","平成２７年国勢調査","小地域","","","","","","","","","","","02","世帯人員別一般世帯数 青森県","","","青森県","","","-","201510","2019-10-08","1","","39744","2019-10-08","02","人口・世帯","01","人口"
"8003000185","00200521","国勢調査","00200","総務省","平成２７年国勢調査","小地域","","","","","","","","","","","02","世帯の家族類型別一般世帯数 青森県","","","青森県","","","-","201510","2019-10-08","1","","44712","2019-10-08","02","人口・世帯","01","人口"
"8003000188","00200521","国勢調査","00200","総務省","平成２７年国勢調査","小地域","","","","","","","","","","","02","住宅の建て方別世帯数 青森県","","","青森県","","","-","201510","2019-10-08","1","","44712","2019-10-08","02","人口・世帯","01","人口"
"8003000264","00200521","国勢調査","00200","総務省","平成２７年国勢調査","小地域","","","","","","","","","","","02","産業（大分類）別及び従業上の地位別就業者数 青森県","","","青森県","","","-","201510","2019-10-08","1","","124200","2019-10-08","02","人口・世帯","01","人口"
"8003000310","00200521","国勢調査","00200","総務省","平成２７年国勢調査","小地域","","","","","","","","","","","02","職業（大分類）別就業者数 青森県","","","青森県","","","-","201510","2019-10-08","1","","64584","2019-10-08","02","人口・世帯","01","人口"
